leadership,creativity,communication,problem_solving,analytical,teamwork,python,javascript,sql,statistics,machine_learning,data_visualization,html_css,react,backend_apis,databases,cloud,networking_security,linux_devops,mobile_dev,ui_ux_design,career
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.3333333333333333,0.5,0.0,0.4,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.6666666666666666,0.5,0.0,0.0,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.4,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,0.0,1.0,0.6666666666666666,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.4,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.7,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.3333333333333333,0.5,0.0,0.4,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.0,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,1.0,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.0,0.7,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.3,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.6666666666666666,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,1.0,0.0,0.0,0.3,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.7,0.0,0.5,1.0,0.5,0.0,0.4,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.7,1.0,1.0,1.0,1.0,0.0,0.4,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,1.0,1.0,1.0,1.0,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.7,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,1.0,0.6666666666666666,1.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7,0.0,1.0,1.0,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,1.0,0.5,1.0,0.5,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.7,1.0,1.0,0.6666666666666666,0.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.7,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.6666666666666666,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.7,1.0,1.0,1.0,0.5,0.0,0.3,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,1.0,0.5,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.0,0.4,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.3,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.0,0.6,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,1.0,0.5,0.3333333333333333,0.5,0.0,0.3,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.4,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.7,0.0,0.0,0.6666666666666666,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.4,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.3333333333333333,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.0,0.3,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.6666666666666666,0.5,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.5,0.0,0.6,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,1.0,0.0,0.0,0.7,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.7,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.4,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,1.0,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.0,0.4,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,1.0,0.5,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3333333333333333,0.0,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.6,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.7,1.0,1.0,0.6666666666666666,0.5,0.0,0.3,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,0.5,0.3333333333333333,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.3333333333333333,0.5,0.0,0.6,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,Full Stack Developer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.7,0.5,0.0,Full Stack Developer
